pcf_record_id,supplier_name_pcf,supplier_country_pcf,material_name_pcf,material_id_linked,supplier_id_linked,pcf_value,pcf_unit_basis,pcf_data_type,pcf_reference_year,pcf_data_quality_note
PCF-0001,NordPetrol Refining GmbH,Germany,Base Oil Group II 150N Viscosity Grade,,,0.85,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0002,Iberia Base Oils,Spain,Base Oil Group II 150N Viscosity Grade,,,0.68,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0003,Baltic Petrochemical Works,Poland,Base Oil Group II 150N Viscosity Grade,,,0.95,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0004,Nordic Hydrotreated Oils AB,Sweden,Base Oil Group II 150N Viscosity Grade,,,0.55,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0005,Atlas Lubricant Solutions,France,Base Oil Group II 150N Viscosity Grade,,,0.90,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0006,Rhine Solvent Works GmbH,Germany,Isopropanol (IPA) Technical Grade 99.8%,,,1.40,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0007,Danube Chemical Traders,Hungary,Isopropanol (IPA) Technical Grade 99.5%,,,1750,kg CO2e/t,Supplier-specific (primary),2023,
PCF-0008,Nordic BioSolvents AS,Norway,Isopropanol (IPA) Bio-based Route 99.5%,,,0.90,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0009,Atlantic Solvent Supply Ltd,Ireland,Isopropanol (IPA) Technical Grade 99.7%,,,1.55,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0010,Circular Solvents Recovery GmbH,Austria,Isopropanol (IPA) Reclaimed/Redistilled Grade 99.5%,,,1.20,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0011,Continental Surfactants BV,Netherlands,Fatty Alcohol Ethoxylate (Nonionic) C12-14 7EO,,,2.10,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0012,Meridian Green Chemicals,Italy,Fatty Alcohol Ethoxylate (Nonionic) C12-14 8EO Bio-based Feedstock,,,0.95,kg CO2e/kg,Industry-average (secondary),2019,Secondary/industry-average dataset; study year 2019; not yet refreshed with supplier-specific data
PCF-0013,Baltic Biosurfactants Oy,Finland,Fatty Alcohol Ethoxylate (Nonionic) C12-14 7EO Alternative Supplier,,,1.60,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0014,Iberia Specialty Surfactants SA,Spain,Fatty Alcohol Ethoxylate (Nonionic) C12-14 9EO,,,2.25,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0015,Rhein Polymer Additives GmbH,Germany,Antioxidant Additive Package AO-1,,,1.80,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0016,Meridian Polymer Innovations Srl,IT,Antioxidant Additive Package AO-2 (New Chemistry),,,1.10,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0017,Baltic Specialty Additives AB,Sweden,Antioxidant Additive Package AO-1 Alt Source,,,1.70,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0018,Atlas Polymer Chemicals Ltd,United Kingdom,Antioxidant Additive Package AO-3 (Next-Gen Blend),,,1.50,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0019,Iberia Additive Solutions SA,Spain,Antioxidant Additive Package AO-1 Regional Source,,,1.95,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0020,Rhine Resin Technologies GmbH,Germany,Waterborne Acrylic Binder 50%,,,1.25,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0021,Danube Polymer Resins Kft,Hungary,Acrylic Resin Dispersion 50% Solids Alt Source,,,1.30,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0022,Baltic Binder Solutions AS,Estonia,Acrylic Resin Dispersion 48% Solids,,,1.18,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0023,Iberia Resin Systems SL,Spain,Acrylic Resin Dispersion 50% Solids Regional Source,,,1.22,kg CO2e/kg,Supplier-specific (primary),2023,
PCF-0024,Nordic Binder Chemicals AB,Sweden,Acrylic Resin Dispersion 52% Solids,,,1.28,kg CO2e/kg,Supplier-specific (primary),2023,
