raw_material_name,material_name_canonical,material_group_hint
Base Oil Group II 150N Viscosity Grade,Base Oil Group II 150N Viscosity Grade,Base Oils
Isopropanol (IPA) Technical Grade 99.8%,Isopropanol (IPA) Technical Grade 99.8%,Solvents
Isopropanol (IPA) Technical Grade 99.5%,Isopropanol (IPA) Technical Grade 99.5%,Solvents
Isopropanol (IPA) Bio-based Route 99.5%,Isopropanol (IPA) Bio-based Route 99.5%,Solvents
Isopropanol (IPA) Technical Grade 99.7%,Isopropanol (IPA) Technical Grade 99.7%,Solvents
Isopropanol (IPA) Reclaimed/Redistilled Grade 99.5%,Isopropanol (IPA) Reclaimed/Redistilled Grade 99.5%,Solvents
Fatty Alcohol Ethoxylate (Nonionic) C12-14 7EO,Fatty Alcohol Ethoxylate (Nonionic) C12-14 7EO,Surfactants
Fatty Alcohol Ethoxylate (Nonionic) C12-14 8EO Bio-based Feedstock,Fatty Alcohol Ethoxylate (Nonionic) C12-14 8EO Bio-based Feedstock,Surfactants
Fatty Alcohol Ethoxylate (Nonionic) C12-14 6EO,Fatty Alcohol Ethoxylate (Nonionic) C12-14 6EO,Surfactants
Fatty Alcohol Ethoxylate (Nonionic) C12-14 7EO Alternative Supplier,Fatty Alcohol Ethoxylate (Nonionic) C12-14 7EO Alternative Supplier,Surfactants
Fatty Alcohol Ethoxylate (Nonionic) C12-14 9EO,Fatty Alcohol Ethoxylate (Nonionic) C12-14 9EO,Surfactants
Antioxidant Additive Package AO-1,Antioxidant Additive Package AO-1,Polymer Additives
Antioxidant Additive Package AO-2 (New Chemistry),Antioxidant Additive Package AO-2 (New Chemistry),Polymer Additives
Antioxidant Additive Package AO-1 Alt Source,Antioxidant Additive Package AO-1 Alt Source,Polymer Additives
Antioxidant Additive Package AO-3 (Next-Gen Blend),Antioxidant Additive Package AO-3 (Next-Gen Blend),Polymer Additives
Antioxidant Additive Package AO-1 Regional Source,Antioxidant Additive Package AO-1 Regional Source,Polymer Additives
Acrylic Resin Dispersion 50% Solids,Acrylic Resin Dispersion 50% Solids,Resins / Binders
Acrylic Resin Disp. 50%,Acrylic Resin Dispersion 50% Solids,Resins / Binders
Waterborne Acrylic Binder 50%,Acrylic Resin Dispersion 50% Solids,Resins / Binders
Acrylic Resin Dispersion 50% Solids Alt Source,Acrylic Resin Dispersion 50% Solids Alt Source,Resins / Binders
Acrylic Resin Dispersion 48% Solids,Acrylic Resin Dispersion 48% Solids,Resins / Binders
Acrylic Resin Dispersion 50% Solids Regional Source,Acrylic Resin Dispersion 50% Solids Regional Source,Resins / Binders
Acrylic Resin Dispersion 52% Solids,Acrylic Resin Dispersion 52% Solids,Resins / Binders
